N,N_V9,N_V832_error,N_v832_correct,description
8,1,8,8,GEOGKEY matches
9,2,9,9,GEOGKEY matches
2,3,2,2,GEOGKEY matches
1,4,1,1,GEOGKEY matches
10,5,10,10,GEOGKEY matches
3,6,3,3,GEOGKEY matches
4,7,4,4,GEOGKEY matches
11,8,11,11,GEOGKEY matches
5,9,5,5,GEOGKEY matches
6,10,6,6,GEOGKEY matches
14,11,14,14,GEOGKEY matches
16,12,16,16,GEOGKEY matches
17,13,17,17,GEOGKEY matches
26,14,26,26,GEOGKEY matches
7,15,7,7,GEOGKEY matches
12,16,12,12,GEOGKEY matches
15,17,15,15,GEOGKEY matches
25,18,25,25,GEOGKEY matches
13,19,13,13,GEOGKEY matches
39,20,39,39,GEOGKEY matches
29,21,29,29,Moved Centroid Node
100022,22,100022,100022,New v9 Centroid
30,23,30,30,Moved Centroid Node
33,24,33,33,GEOGKEY matches
34,25,34,34,GEOGKEY matches
40,26,40,40,GEOGKEY matches
27,27,27,27,GEOGKEY matches
31,28,31,31,GEOGKEY matches
35,29,35,35,GEOGKEY matches
36,30,36,36,GEOGKEY matches
42,31,42,42,GEOGKEY matches
41,32,41,41,GEOGKEY matches
43,33,43,43,GEOGKEY matches
100034,34,100034,100034,New v9 Centroid
100035,35,100035,100035,New v9 Centroid
51,36,51,51,GEOGKEY matches
28,37,28,28,GEOGKEY matches
32,38,32,32,GEOGKEY matches
37,39,37,37,GEOGKEY matches
38,40,38,38,Moved Centroid Node
44,41,44,44,GEOGKEY matches
45,42,45,45,GEOGKEY matches
52,43,52,52,GEOGKEY matches
100044,44,100044,100044,New v9 Centroid
100045,45,100045,100045,New v9 Centroid
100046,46,100046,100046,New v9 Centroid
19,47,19,19,GEOGKEY matches
18,48,18,18,GEOGKEY matches
57,49,57,57,GEOGKEY matches
58,50,58,58,GEOGKEY matches
62,51,62,62,GEOGKEY matches
63,52,63,63,GEOGKEY matches
64,53,64,64,GEOGKEY matches
46,54,46,46,GEOGKEY matches
47,55,47,47,GEOGKEY matches
55,56,55,55,GEOGKEY matches
54,57,54,54,GEOGKEY matches
100058,58,100058,100058,New v9 Centroid
59,59,59,59,GEOGKEY matches
60,60,60,60,GEOGKEY matches
67,61,67,67,GEOGKEY matches
68,62,68,68,GEOGKEY matches
65,63,65,65,GEOGKEY matches
69,64,69,69,GEOGKEY matches
66,65,66,66,GEOGKEY matches
75,66,75,75,Moved Centroid Node
72,67,72,72,GEOGKEY matches
76,68,76,76,GEOGKEY matches
73,69,73,73,GEOGKEY matches
77,70,77,77,GEOGKEY matches
78,71,78,78,GEOGKEY matches
74,72,74,74,GEOGKEY matches
100073,73,100073,100073,New v9 Centroid
61,74,61,61,GEOGKEY matches
100075,75,100075,100075,New v9 Centroid
100076,76,100076,100076,New v9 Centroid
100077,77,100077,100077,New v9 Centroid
100078,78,100078,100078,New v9 Centroid
100079,79,100079,100079,New v9 Centroid
100080,80,100080,100080,New v9 Centroid
100081,81,100081,100081,New v9 Centroid
100082,82,100082,100082,New v9 Centroid
81,83,81,81,GEOGKEY matches
82,84,82,82,GEOGKEY matches
89,85,89,89,GEOGKEY matches
20,86,20,20,GEOGKEY matches
80,87,80,80,GEOGKEY matches
100088,88,100088,100088,New v9 Centroid
85,89,85,85,GEOGKEY matches
100090,90,100090,100090,New v9 Centroid
91,91,91,91,GEOGKEY matches
90,92,90,90,GEOGKEY matches
86,93,86,86,GEOGKEY matches
87,94,87,87,GEOGKEY matches
88,95,88,88,GEOGKEY matches
100096,96,100096,100096,New v9 Centroid
21,97,21,21,GEOGKEY matches
100098,98,100098,100098,New v9 Centroid
94,99,94,94,GEOGKEY matches
95,100,95,95,GEOGKEY matches
100101,101,100101,100101,New v9 Centroid
98,102,98,98,GEOGKEY matches
99,103,99,99,GEOGKEY matches
96,104,96,96,GEOGKEY matches
100,105,100,100,GEOGKEY matches
101,106,101,101,GEOGKEY matches
102,107,102,102,GEOGKEY matches
104,108,104,104,GEOGKEY matches
22,109,22,22,GEOGKEY matches
103,110,103,103,GEOGKEY matches
105,111,105,105,GEOGKEY matches
106,112,106,106,GEOGKEY matches
107,113,107,107,GEOGKEY matches
108,114,108,108,GEOGKEY matches
109,115,109,109,GEOGKEY matches
110,116,110,110,GEOGKEY matches
111,117,111,111,GEOGKEY matches
112,118,112,112,GEOGKEY matches
23,119,23,23,GEOGKEY matches
113,120,113,113,GEOGKEY matches
114,121,114,114,GEOGKEY matches
115,122,115,115,GEOGKEY matches
24,123,24,24,GEOGKEY matches
116,124,116,116,GEOGKEY matches
117,125,117,117,GEOGKEY matches
118,126,118,118,GEOGKEY matches
119,127,119,119,GEOGKEY matches
120,128,120,120,Moved Centroid Node
122,129,122,122,GEOGKEY matches
121,130,121,121,GEOGKEY matches
100131,131,100131,100131,New v9 Centroid
125,132,125,125,GEOGKEY matches
124,133,124,124,GEOGKEY matches
131,134,131,131,GEOGKEY matches
130,135,130,130,GEOGKEY matches
127,136,127,127,Moved Centroid Node
132,137,132,132,GEOGKEY matches
126,138,126,126,GEOGKEY matches
128,139,128,128,GEOGKEY matches
133,140,133,133,GEOGKEY matches
