N,N_V9,N_V832_error,N_v832_correct,description
134,141,134,134,GEOGKEY matches
135,142,135,135,GEOGKEY matches
129,143,129,129,GEOGKEY matches
100144,144,100144,100144,New v9 Centroid
100145,145,100145,100145,New v9 Centroid
100146,146,100146,100146,New v9 Centroid
100147,147,100147,100147,New v9 Centroid
100148,148,100148,100148,New v9 Centroid
100149,149,100149,100149,New v9 Centroid
100150,150,100150,100150,New v9 Centroid
100151,151,100151,100151,New v9 Centroid
100152,152,100152,100152,New v9 Centroid
100153,153,100153,100153,New v9 Centroid
100154,154,100154,100154,New v9 Centroid
153,155,153,153,GEOGKEY matches
100156,156,100156,100156,New v9 Centroid
100157,157,100157,100157,New v9 Centroid
156,158,156,156,Moved Centroid Node
100159,159,100159,100159,New v9 Centroid
100160,160,100160,100160,New v9 Centroid
100161,161,100161,100161,New v9 Centroid
157,162,157,157,GEOGKEY matches
100163,163,100163,100163,New v9 Centroid
100164,164,100164,100164,New v9 Centroid
100165,165,100165,100165,New v9 Centroid
100166,166,100166,100166,New v9 Centroid
100167,167,100167,100167,New v9 Centroid
100168,168,100168,100168,New v9 Centroid
100169,169,100169,100169,New v9 Centroid
100170,170,100170,100170,New v9 Centroid
100171,171,100171,100171,New v9 Centroid
100172,172,100172,100172,New v9 Centroid
100173,173,100173,100173,New v9 Centroid
100174,174,100174,100174,New v9 Centroid
100175,175,100175,100175,New v9 Centroid
100176,176,100176,100176,New v9 Centroid
100177,177,100177,100177,New v9 Centroid
100178,178,100178,100178,New v9 Centroid
100179,179,100179,100179,New v9 Centroid
100180,180,100180,100180,New v9 Centroid
100181,181,100181,100181,New v9 Centroid
100182,182,100182,100182,New v9 Centroid
100183,183,100183,100183,New v9 Centroid
235,184,235,235,GEOGKEY matches
237,185,237,237,GEOGKEY matches
100186,186,100186,100186,New v9 Centroid
100187,187,100187,100187,New v9 Centroid
100188,188,100188,100188,New v9 Centroid
100189,189,100189,100189,New v9 Centroid
100190,190,100190,100190,New v9 Centroid
236,191,236,236,Moved Centroid Node
100192,192,100192,100192,New v9 Centroid
241,193,241,241,GEOGKEY matches
100194,194,100194,100194,New v9 Centroid
250,195,250,250,GEOGKEY matches
251,196,251,251,GEOGKEY matches
252,197,252,252,GEOGKEY matches
253,198,253,253,GEOGKEY matches
100199,199,100199,100199,New v9 Centroid
100200,200,100200,100200,New v9 Centroid
144,201,144,144,GEOGKEY matches
145,202,145,145,GEOGKEY matches
100203,203,100203,100203,New v9 Centroid
146,204,146,146,GEOGKEY matches
100205,205,100205,100205,New v9 Centroid
100206,206,100206,100206,New v9 Centroid
100207,207,100207,100207,New v9 Centroid
100208,208,100208,100208,New v9 Centroid
100209,209,100209,100209,New v9 Centroid
100210,210,100210,100210,New v9 Centroid
100211,211,100211,100211,New v9 Centroid
100212,212,100212,100212,New v9 Centroid
100213,213,100213,100213,New v9 Centroid
149,214,149,149,Moved Centroid Node
100215,215,100215,100215,New v9 Centroid
100216,216,100216,100216,New v9 Centroid
100217,217,100217,100217,New v9 Centroid
100218,218,100218,100218,New v9 Centroid
100219,219,100219,100219,New v9 Centroid
100220,220,100220,100220,New v9 Centroid
161,221,161,161,GEOGKEY matches
100222,222,100222,100222,New v9 Centroid
100223,223,100223,100223,New v9 Centroid
150,224,150,150,GEOGKEY matches
100225,225,100225,100225,New v9 Centroid
151,226,151,151,Moved Centroid Node
100227,227,100227,100227,New v9 Centroid
100228,228,100228,100228,New v9 Centroid
100229,229,100229,100229,New v9 Centroid
100230,230,100230,100230,New v9 Centroid
100231,231,100231,100231,New v9 Centroid
100232,232,100232,100232,New v9 Centroid
100233,233,100233,100233,New v9 Centroid
100234,234,100234,100234,New v9 Centroid
162,235,162,162,GEOGKEY matches
100236,236,100236,100236,New v9 Centroid
100237,237,100237,100237,New v9 Centroid
100238,238,100238,100238,New v9 Centroid
174,239,174,174,Moved Centroid Node
180,240,180,180,GEOGKEY matches
100241,241,100241,100241,New v9 Centroid
100242,242,100242,100242,New v9 Centroid
100243,243,100243,100243,New v9 Centroid
100244,244,100244,100244,New v9 Centroid
100245,245,100245,100245,New v9 Centroid
100246,246,100246,100246,New v9 Centroid
100247,247,100247,100247,New v9 Centroid
100248,248,100248,100248,New v9 Centroid
100249,249,100249,100249,New v9 Centroid
100250,250,100250,100250,New v9 Centroid
100251,251,100251,100251,New v9 Centroid
100252,252,100252,100252,New v9 Centroid
100253,253,100253,100253,New v9 Centroid
179,254,179,179,GEOGKEY matches
100255,255,100255,100255,New v9 Centroid
100256,256,100256,100256,New v9 Centroid
100257,257,100257,100257,New v9 Centroid
100258,258,100258,100258,New v9 Centroid
100259,259,100259,100259,New v9 Centroid
100260,260,100260,100260,New v9 Centroid
100261,261,100261,100261,New v9 Centroid
100262,262,100262,100262,New v9 Centroid
100263,263,100263,100263,New v9 Centroid
100264,264,100264,100264,New v9 Centroid
100265,265,100265,100265,New v9 Centroid
100266,266,100266,100266,New v9 Centroid
100267,267,100267,100267,New v9 Centroid
100268,268,100268,100268,New v9 Centroid
100269,269,100269,100269,New v9 Centroid
100270,270,100270,100270,New v9 Centroid
100271,271,100271,100271,New v9 Centroid
100272,272,100272,100272,New v9 Centroid
190,273,190,190,GEOGKEY matches
100274,274,100274,100274,New v9 Centroid
100276,276,100276,100276,New v9 Centroid
100277,277,100277,100277,New v9 Centroid
201,278,201,201,GEOGKEY matches
202,279,202,202,GEOGKEY matches
100280,280,100280,100280,New v9 Centroid
100281,281,100281,100281,New v9 Centroid
100282,282,100282,100282,New v9 Centroid
204,283,204,204,GEOGKEY matches
205,284,205,205,GEOGKEY matches
100285,285,100285,100285,New v9 Centroid
100286,286,100286,100286,New v9 Centroid
100287,287,100287,100287,New v9 Centroid
100288,288,100288,100288,New v9 Centroid
100289,289,100289,100289,New v9 Centroid
100290,290,100290,100290,New v9 Centroid
100291,291,100291,100291,New v9 Centroid
100292,292,100292,100292,New v9 Centroid
199,293,199,199,GEOGKEY matches
100294,294,100294,100294,New v9 Centroid
163,295,163,163,GEOGKEY matches
170,296,170,170,GEOGKEY matches
171,297,171,171,GEOGKEY matches
164,298,164,164,GEOGKEY matches
165,299,165,165,GEOGKEY matches
100300,300,100300,100300,New v9 Centroid
100301,301,100301,100301,New v9 Centroid
172,302,172,172,GEOGKEY matches
100303,303,100303,100303,New v9 Centroid
100304,304,100304,100304,New v9 Centroid
100305,305,100305,100305,New v9 Centroid
100306,306,100306,100306,New v9 Centroid
100307,307,100307,100307,New v9 Centroid
100308,308,100308,100308,New v9 Centroid
100309,309,100309,100309,New v9 Centroid
100310,310,100310,100310,New v9 Centroid
100311,311,100311,100311,New v9 Centroid
100312,312,100312,100312,New v9 Centroid
100313,313,100313,100313,New v9 Centroid
100314,314,100314,100314,New v9 Centroid
100315,315,100315,100315,New v9 Centroid
209,316,209,209,GEOGKEY matches
210,317,210,210,GEOGKEY matches
223,318,223,223,GEOGKEY matches
100319,319,100319,100319,New v9 Centroid
222,320,222,222,Moved Centroid Node
100321,321,100321,100321,New v9 Centroid
100322,322,100322,100322,New v9 Centroid
100323,323,100323,100323,New v9 Centroid
220,324,220,220,GEOGKEY matches
225,325,225,225,Moved Centroid Node
100326,326,100326,100326,New v9 Centroid
100327,327,100327,100327,New v9 Centroid
100328,328,100328,100328,New v9 Centroid
221,329,221,221,GEOGKEY matches
224,330,224,224,GEOGKEY matches
229,331,229,229,Moved Centroid Node
230,332,230,230,GEOGKEY matches
218,333,218,218,GEOGKEY matches
100334,334,100334,100334,New v9 Centroid
100335,335,100335,100335,New v9 Centroid
100336,336,100336,100336,New v9 Centroid
228,337,228,228,Moved Centroid Node
231,338,231,231,GEOGKEY matches
100339,339,100339,100339,New v9 Centroid
100340,340,100340,100340,New v9 Centroid
100341,341,100341,100341,New v9 Centroid
100342,342,100342,100342,New v9 Centroid
100343,343,100343,100343,New v9 Centroid
309,344,309,309,GEOGKEY matches
310,345,310,310,GEOGKEY matches
311,346,311,311,GEOGKEY matches
100347,347,100347,100347,New v9 Centroid
100348,348,100348,100348,New v9 Centroid
100349,349,100349,100349,New v9 Centroid
100350,350,100350,100350,New v9 Centroid
100351,351,100351,100351,New v9 Centroid
100352,352,100352,100352,New v9 Centroid
318,353,318,318,Moved Centroid Node
100354,354,100354,100354,New v9 Centroid
100355,355,100355,100355,New v9 Centroid
100356,356,100356,100356,New v9 Centroid
100357,357,100357,100357,New v9 Centroid
100358,358,100358,100358,New v9 Centroid
100359,359,100359,100359,New v9 Centroid
337,360,337,337,GEOGKEY matches
341,361,341,341,GEOGKEY matches
100362,362,100362,100362,New v9 Centroid
347,363,347,347,GEOGKEY matches
100364,364,100364,100364,New v9 Centroid
313,365,313,313,GEOGKEY matches
314,366,314,314,GEOGKEY matches
316,367,316,316,GEOGKEY matches
320,368,320,320,GEOGKEY matches
325,369,325,325,GEOGKEY matches
321,370,321,321,Moved Centroid Node
326,371,326,326,Moved Centroid Node
322,372,322,322,Moved Centroid Node
327,373,327,327,Moved Centroid Node
323,374,323,323,Moved Centroid Node
328,375,328,328,GEOGKEY matches
324,376,324,324,Moved Centroid Node
339,377,339,339,GEOGKEY matches
338,378,338,338,GEOGKEY matches
343,379,343,343,GEOGKEY matches
342,380,342,342,GEOGKEY matches
348,381,348,348,GEOGKEY matches
349,382,349,349,GEOGKEY matches
100383,383,100383,100383,New v9 Centroid
100384,384,100384,100384,New v9 Centroid
100385,385,100385,100385,New v9 Centroid
262,386,262,262,GEOGKEY matches
315,387,315,315,Moved Centroid Node
317,388,317,317,GEOGKEY matches
333,389,333,333,GEOGKEY matches
329,390,329,329,Moved Centroid Node
334,391,334,334,GEOGKEY matches
330,392,330,330,Moved Centroid Node
335,393,335,335,GEOGKEY matches
331,394,331,331,Moved Centroid Node
336,395,336,336,GEOGKEY matches
332,396,332,332,GEOGKEY matches
354,397,354,354,GEOGKEY matches
340,398,340,340,GEOGKEY matches
355,399,355,355,GEOGKEY matches
344,400,344,344,GEOGKEY matches
100401,401,100401,100401,New v9 Centroid
359,402,359,359,GEOGKEY matches
100403,403,100403,100403,New v9 Centroid
360,404,360,360,GEOGKEY matches
100405,405,100405,100405,New v9 Centroid
100406,406,100406,100406,New v9 Centroid
100407,407,100407,100407,New v9 Centroid
263,408,263,263,GEOGKEY matches
350,409,350,350,GEOGKEY matches
100410,410,100410,100410,New v9 Centroid
351,411,351,351,Moved Centroid Node
100412,412,100412,100412,New v9 Centroid
352,413,352,352,GEOGKEY matches
353,414,353,353,Moved Centroid Node
370,415,370,370,GEOGKEY matches
356,416,356,356,GEOGKEY matches
358,417,358,358,GEOGKEY matches
357,418,357,357,GEOGKEY matches
374,419,374,374,GEOGKEY matches
100420,420,100420,100420,New v9 Centroid
375,421,375,375,GEOGKEY matches
264,422,264,264,GEOGKEY matches
100423,423,100423,100423,New v9 Centroid
367,424,367,367,GEOGKEY matches
368,425,368,368,Moved Centroid Node
365,426,365,365,Moved Centroid Node
100427,427,100427,100427,New v9 Centroid
100428,428,100428,100428,New v9 Centroid
100429,429,100429,100429,New v9 Centroid
100430,430,100430,100430,New v9 Centroid
100431,431,100431,100431,New v9 Centroid
373,432,373,373,GEOGKEY matches
376,433,376,376,GEOGKEY matches
100434,434,100434,100434,New v9 Centroid
100435,435,100435,100435,New v9 Centroid
100436,436,100436,100436,New v9 Centroid
383,437,383,383,Moved Centroid Node
100438,438,100438,100438,New v9 Centroid
100439,439,100439,100439,New v9 Centroid
100440,440,100440,100440,New v9 Centroid
100441,441,100441,100441,New v9 Centroid
100442,442,100442,100442,New v9 Centroid
100443,443,100443,100443,New v9 Centroid
100444,444,100444,100444,New v9 Centroid
100445,445,100445,100445,New v9 Centroid
100446,446,100446,100446,New v9 Centroid
100447,447,100447,100447,New v9 Centroid
244,448,244,244,GEOGKEY matches
238,449,238,238,GEOGKEY matches
245,450,245,245,Moved Centroid Node
304,451,304,304,GEOGKEY matches
242,452,242,242,GEOGKEY matches
246,453,246,246,GEOGKEY matches
100454,454,100454,100454,New v9 Centroid
305,455,305,305,GEOGKEY matches
254,456,254,254,GEOGKEY matches
248,457,248,248,GEOGKEY matches
255,458,255,255,GEOGKEY matches
100459,459,100459,100459,New v9 Centroid
256,460,256,256,GEOGKEY matches
100461,461,100461,100461,New v9 Centroid
258,462,258,258,GEOGKEY matches
259,463,259,259,GEOGKEY matches
100464,464,100464,100464,New v9 Centroid
100465,465,100465,100465,New v9 Centroid
100466,466,100466,100466,New v9 Centroid
100467,467,100467,100467,New v9 Centroid
100468,468,100468,100468,New v9 Centroid
100469,469,100469,100469,New v9 Centroid
273,470,273,273,GEOGKEY matches
100471,471,100471,100471,New v9 Centroid
100472,472,100472,100472,New v9 Centroid
100473,473,100473,100473,New v9 Centroid
100474,474,100474,100474,New v9 Centroid
265,475,265,265,GEOGKEY matches
266,476,266,266,GEOGKEY matches
100477,477,100477,100477,New v9 Centroid
100478,478,100478,100478,New v9 Centroid
100479,479,100479,100479,New v9 Centroid
100480,480,100480,100480,New v9 Centroid
100481,481,100481,100481,New v9 Centroid
100482,482,100482,100482,New v9 Centroid
100483,483,100483,100483,New v9 Centroid
100484,484,100484,100484,New v9 Centroid
100485,485,100485,100485,New v9 Centroid
100486,486,100486,100486,New v9 Centroid
100487,487,100487,100487,New v9 Centroid
100488,488,100488,100488,New v9 Centroid
100489,489,100489,100489,New v9 Centroid
100490,490,100490,100490,New v9 Centroid
100491,491,100491,100491,New v9 Centroid
100492,492,100492,100492,New v9 Centroid
100493,493,100493,100493,New v9 Centroid
100494,494,100494,100494,New v9 Centroid
100495,495,100495,100495,New v9 Centroid
100496,496,100496,100496,New v9 Centroid
100497,497,100497,100497,New v9 Centroid
281,498,281,281,GEOGKEY matches
100499,499,100499,100499,New v9 Centroid
100500,500,100500,100500,New v9 Centroid
283,501,283,283,GEOGKEY matches
282,502,282,282,GEOGKEY matches
100503,503,100503,100503,New v9 Centroid
284,504,284,284,GEOGKEY matches
285,505,285,285,GEOGKEY matches
100506,506,100506,100506,New v9 Centroid
100507,507,100507,100507,New v9 Centroid
100508,508,100508,100508,New v9 Centroid
291,509,291,291,GEOGKEY matches
293,510,293,293,Moved Centroid Node
294,511,294,294,Moved Centroid Node
295,512,295,295,Moved Centroid Node
100513,513,100513,100513,New v9 Centroid
100514,514,100514,100514,New v9 Centroid
100515,515,100515,100515,New v9 Centroid
292,516,292,292,GEOGKEY matches
296,517,296,296,GEOGKEY matches
100518,518,100518,100518,New v9 Centroid
100519,519,100519,100519,New v9 Centroid
289,520,289,289,GEOGKEY matches
290,521,290,290,GEOGKEY matches
298,522,298,298,GEOGKEY matches
299,523,299,299,Moved Centroid Node
300,524,300,300,GEOGKEY matches
301,525,301,301,GEOGKEY matches
302,526,302,302,GEOGKEY matches
100527,527,100527,100527,New v9 Centroid
100528,528,100528,100528,New v9 Centroid
100529,529,100529,100529,New v9 Centroid
100530,530,100530,100530,New v9 Centroid
100531,531,100531,100531,New v9 Centroid
100532,532,100532,100532,New v9 Centroid
389,533,389,389,Moved Centroid Node
400,534,400,400,GEOGKEY matches
388,535,388,388,GEOGKEY matches
100536,536,100536,100536,New v9 Centroid
100537,537,100537,100537,New v9 Centroid
100538,538,100538,100538,New v9 Centroid
100539,539,100539,100539,New v9 Centroid
402,540,402,402,GEOGKEY matches
399,541,399,399,Moved Centroid Node
100542,542,100542,100542,New v9 Centroid
100543,543,100543,100543,New v9 Centroid
100544,544,100544,100544,New v9 Centroid
100545,545,100545,100545,New v9 Centroid
406,546,406,406,GEOGKEY matches
407,547,407,407,GEOGKEY matches
408,548,408,408,GEOGKEY matches
100549,549,100549,100549,New v9 Centroid
100550,550,100550,100550,New v9 Centroid
409,551,409,409,GEOGKEY matches
100552,552,100552,100552,New v9 Centroid
100553,553,100553,100553,New v9 Centroid
100554,554,100554,100554,New v9 Centroid
100555,555,100555,100555,New v9 Centroid
100556,556,100556,100556,New v9 Centroid
380,557,380,380,GEOGKEY matches
100558,558,100558,100558,New v9 Centroid
100559,559,100559,100559,New v9 Centroid
100560,560,100560,100560,New v9 Centroid
100561,561,100561,100561,New v9 Centroid
100562,562,100562,100562,New v9 Centroid
100563,563,100563,100563,New v9 Centroid
100564,564,100564,100564,New v9 Centroid
100565,565,100565,100565,New v9 Centroid
100566,566,100566,100566,New v9 Centroid
100567,567,100567,100567,New v9 Centroid
100568,568,100568,100568,New v9 Centroid
416,569,416,416,GEOGKEY matches
100570,570,100570,100570,New v9 Centroid
100571,571,100571,100571,New v9 Centroid
413,572,413,413,Moved Centroid Node
420,573,420,420,GEOGKEY matches
100574,574,100574,100574,New v9 Centroid
100575,575,100575,100575,New v9 Centroid
100576,576,100576,100576,New v9 Centroid
100577,577,100577,100577,New v9 Centroid
100578,578,100578,100578,New v9 Centroid
100579,579,100579,100579,New v9 Centroid
100580,580,100580,100580,New v9 Centroid
100581,581,100581,100581,New v9 Centroid
100582,582,100582,100582,New v9 Centroid
100583,583,100583,100583,New v9 Centroid
100584,584,100584,100584,New v9 Centroid
100585,585,100585,100585,New v9 Centroid
100586,586,100586,100586,New v9 Centroid
100587,587,100587,100587,New v9 Centroid
100588,588,100588,100588,New v9 Centroid
100589,589,100589,100589,New v9 Centroid
100590,590,100590,100590,New v9 Centroid
100591,591,100591,100591,New v9 Centroid
100592,592,100592,100592,New v9 Centroid
100593,593,100593,100593,New v9 Centroid
100594,594,100594,100594,New v9 Centroid
458,595,458,458,GEOGKEY matches
463,596,463,463,GEOGKEY matches
100597,597,100597,100597,New v9 Centroid
100598,598,100598,100598,New v9 Centroid
100599,599,100599,100599,New v9 Centroid
461,600,461,461,GEOGKEY matches
100601,601,100601,100601,New v9 Centroid
100602,602,100602,100602,New v9 Centroid
100603,603,100603,100603,New v9 Centroid
433,604,433,433,GEOGKEY matches
437,605,437,437,GEOGKEY matches
438,606,438,438,GEOGKEY matches
447,607,447,447,GEOGKEY matches
100608,608,100608,100608,New v9 Centroid
434,609,434,434,GEOGKEY matches
439,610,439,439,GEOGKEY matches
440,611,440,440,GEOGKEY matches
445,612,445,445,GEOGKEY matches
100613,613,100613,100613,New v9 Centroid
435,614,435,435,GEOGKEY matches
442,615,442,442,GEOGKEY matches
441,616,441,441,GEOGKEY matches
451,617,451,451,GEOGKEY matches
436,618,436,436,GEOGKEY matches
443,619,443,443,GEOGKEY matches
444,620,444,444,GEOGKEY matches
450,621,450,450,GEOGKEY matches
448,622,448,448,GEOGKEY matches
474,623,474,474,Moved Centroid Node
449,624,449,449,GEOGKEY matches
452,625,452,452,GEOGKEY matches
100626,626,100626,100626,New v9 Centroid
453,627,453,453,GEOGKEY matches
100628,628,100628,100628,New v9 Centroid
478,629,478,478,GEOGKEY matches
100630,630,100630,100630,New v9 Centroid
100631,631,100631,100631,New v9 Centroid
100632,632,100632,100632,New v9 Centroid
100633,633,100633,100633,New v9 Centroid
100634,634,100634,100634,New v9 Centroid
100635,635,100635,100635,New v9 Centroid
100636,636,100636,100636,New v9 Centroid
482,637,482,482,Moved Centroid Node
487,638,487,487,Moved Centroid Node
485,639,485,485,GEOGKEY matches
486,640,486,486,GEOGKEY matches
489,641,489,489,GEOGKEY matches
100642,642,100642,100642,New v9 Centroid
464,643,464,464,GEOGKEY matches
454,644,454,454,GEOGKEY matches
455,645,455,455,Moved Centroid Node
100646,646,100646,100646,New v9 Centroid
476,647,476,476,GEOGKEY matches
100648,648,100648,100648,New v9 Centroid
456,649,456,456,GEOGKEY matches
100650,650,100650,100650,New v9 Centroid
100651,651,100651,100651,New v9 Centroid
100652,652,100652,100652,New v9 Centroid
470,653,470,470,GEOGKEY matches
100654,654,100654,100654,New v9 Centroid
479,655,479,479,Moved Centroid Node
100656,656,100656,100656,New v9 Centroid
100657,657,100657,100657,New v9 Centroid
100658,658,100658,100658,New v9 Centroid
100659,659,100659,100659,New v9 Centroid
100660,660,100660,100660,New v9 Centroid
100661,661,100661,100661,New v9 Centroid
524,662,524,524,GEOGKEY matches
100663,663,100663,100663,New v9 Centroid
100664,664,100664,100664,New v9 Centroid
100665,665,100665,100665,New v9 Centroid
497,666,497,497,GEOGKEY matches
100667,667,100667,100667,New v9 Centroid
460,668,460,460,GEOGKEY matches
466,669,466,466,GEOGKEY matches
100670,670,100670,100670,New v9 Centroid
100671,671,100671,100671,New v9 Centroid
100672,672,100672,100672,New v9 Centroid
100673,673,100673,100673,New v9 Centroid
100674,674,100674,100674,New v9 Centroid
100675,675,100675,100675,New v9 Centroid
100676,676,100676,100676,New v9 Centroid
100677,677,100677,100677,New v9 Centroid
100678,678,100678,100678,New v9 Centroid
492,679,492,492,GEOGKEY matches
493,680,493,493,GEOGKEY matches
100681,681,100681,100681,New v9 Centroid
494,682,494,494,GEOGKEY matches
100683,683,100683,100683,New v9 Centroid
100684,684,100684,100684,New v9 Centroid
100685,685,100685,100685,New v9 Centroid
100686,686,100686,100686,New v9 Centroid
100687,687,100687,100687,New v9 Centroid
100688,688,100688,100688,New v9 Centroid
100689,689,100689,100689,New v9 Centroid
484,690,484,484,Moved Centroid Node
483,691,483,483,Moved Centroid Node
100692,692,100692,100692,New v9 Centroid
525,693,525,525,GEOGKEY matches
100694,694,100694,100694,New v9 Centroid
100695,695,100695,100695,New v9 Centroid
100696,696,100696,100696,New v9 Centroid
532,697,532,532,GEOGKEY matches
533,698,533,533,GEOGKEY matches
536,699,536,536,Moved Centroid Node
100700,700,100700,100700,New v9 Centroid
100701,701,100701,100701,New v9 Centroid
504,702,504,504,Moved Centroid Node
505,703,505,505,GEOGKEY matches
100704,704,100704,100704,New v9 Centroid
530,705,530,530,GEOGKEY matches
531,706,531,531,GEOGKEY matches
534,707,534,534,GEOGKEY matches
499,708,499,499,GEOGKEY matches
100709,709,100709,100709,New v9 Centroid
100710,710,100710,100710,New v9 Centroid
100711,711,100711,100711,New v9 Centroid
100712,712,100712,100712,New v9 Centroid
100713,713,100713,100713,New v9 Centroid
100714,714,100714,100714,New v9 Centroid
537,715,537,537,GEOGKEY matches
100716,716,100716,100716,New v9 Centroid
501,717,501,501,GEOGKEY matches
100718,718,100718,100718,New v9 Centroid
100719,719,100719,100719,New v9 Centroid
513,720,513,513,GEOGKEY matches
538,721,538,538,GEOGKEY matches
539,722,539,539,GEOGKEY matches
541,723,541,541,GEOGKEY matches
542,724,542,542,GEOGKEY matches
100725,725,100725,100725,New v9 Centroid
100726,726,100726,100726,New v9 Centroid
100727,727,100727,100727,New v9 Centroid
508,728,508,508,GEOGKEY matches
512,729,512,512,GEOGKEY matches
544,730,544,544,GEOGKEY matches
100731,731,100731,100731,New v9 Centroid
100732,732,100732,100732,New v9 Centroid
